Name,Price per square meter
Zhongli,46600
Zhongli,46648
Pingzhen,46677
Luzhu,46746
Luzhu,46753
Pingzhen,46924
Pingzhen,46967
Guanyin ,47128
Pingzhen,47150
Longtan,47159
Longtan,47170
Longtan,47222
Zhongli,47225
Pingzhen,47302
Pingzhen,47409
Pingzhen,47548
Zhongli,47560
Taoyuan,47628
Longtan,47680
Pingzhen,47844
Pingzhen,47893
Zhongli,47994
Guishan,48142
Daxi,48155
Taoyuan,48269
Yangmei,48287
Taoyuan,48298
Zhongli,48327
Pingzhen,48342
Zhongli,48497
Guanyin ,48577
Yangmei,48693
Taoyuan,48869
Pingzhen,48929
Zhongli,48958
Daxi,48980
Guishan,49078
Bade,49179
Taoyuan,49182
Taoyuan,49188
Daxi,49200
Daxi,49200
Taoyuan,49331
Taoyuan,49335
Zhongli,49482
Pingzhen,49505
Pingzhen,49505
Taoyuan,49512
Pingzhen,49564
Taoyuan,49581
Taoyuan,49590
Zhongli,49618
Zhongli,49639
Pingzhen,49651
Zhongli,49770
Pingzhen,49923
Pingzhen,49933
Taoyuan,49936
Pingzhen,49939
Taoyuan,49981
Taoyuan,49983
Daxi,50073
Pingzhen,50144
Pingzhen,50162
Zhongli,50165
Taoyuan,50251
Luzhu,50446
Luzhu,50471
Taoyuan,50495
Pingzhen,50591
Bade,50595
Zhongli,50792
Pingzhen,50834
Zhongli,50865
Yangmei,50874
Taoyuan,50905
Bade,50924
Zhongli,50974
Pingzhen,51232
Pingzhen,51251
Taoyuan,51387
Taoyuan,51402
Zhongli,51594
Luzhu,51774
Zhongli,51819
Pingzhen,51893
Yangmei,51966
Guishan,52100
Taoyuan,52187
Yangmei,52217
Longtan,52291
Bade,52562
Bade,52809
Taoyuan,52966
Zhongli,53033
Zhongli,53062
Luzhu,53419
Bade,53420
Zhongli,53551
Zhongli,53608
Taoyuan,53715
Luzhu,53766
Zhongli,53790
Taoyuan,53882
Pingzhen,54036
Guishan,54075
Luzhu,54096
Taoyuan,54195
Guishan,54244
Pingzhen,54561
Bade,54628
Taoyuan,54642
Taoyuan,54675
Taoyuan,54747
Pingzhen,54820
Zhongli,54931
Bade,55024
Zhongli,55041
Yangmei,55064
Taoyuan,55151
Zhongli,55221
Yangmei,55246
Zhongli,55402
Daxi,55607
Taoyuan,55765
Luzhu,55785
Guishan,55920
Luzhu,55986
Daxi,55996
Longtan,56018
Bade,56093
Pingzhen,56098
Bade,56252
Zhongli,56257
Taoyuan,56372
Zhongli,56607
Daxi,56776
Zhongli,56818
Bade,57148
Taoyuan,57176
Guishan,57252
Guishan,57455
Longtan,57930
Bade,58158
Pingzhen,58218
Yangmei,58426
Yangmei,58665
Longtan,58853
Guanyin ,58866
Guishan,58928
Daxi,59010
Pingzhen,59048
Zhongli,59137
Zhongli,59140
Pingzhen,59197
Pingzhen,59200
Zhongli,59705
Taoyuan,59779
Zhongli,59853
Pingzhen,59976
Bade,59998
Zhongli,60020
Taoyuan,60045
Luzhu,60123
Longtan,60175
Taoyuan,60500
Zhongli,60675
Guishan,60755
Guishan,60778
Bade,60785
Luzhu,60820
Zhongli,61005
Pingzhen,61159
Zhongli,61161
Yangmei,61204
Guishan,61211
Zhongli,61229
Luzhu,61519
Taoyuan,61536
Guishan,61741
Luzhu,61903
Guishan,61939
Guishan,62385
Luzhu,62414
Taoyuan,62525
Longtan,62559
Bade,62635
Pingzhen,62677
Zhongli,62918
Taoyuan,63861
Bade,63902
Taoyuan,63927
Pingzhen,64034
Bade,64154
Taoyuan,64431
Zhongli,64510
Longtan,64894
Bade,64929
Longtan,64937
Zhongli,64990
Zhongli,65246
Pingzhen,65495
Guishan,65520
Taoyuan,65558
Taoyuan,65578
Zhongli,65858
Zhongli,65876
Zhongli,66041
Bade,66135
Taoyuan,66298
Daxi,66367
Longtan,66376
Taoyuan,66542
Guishan,67223
Longtan,67883
Taoyuan,67891
Bade,68131
Guishan,68440
Taoyuan,68444
Taoyuan,68650
Zhongli,68871
Pingzhen,69125
Zhongli,69338
Taoyuan,69545
Luzhu,69699
Bade,69756
Zhongli,70271
Taoyuan,70306
Yangmei,70804
Zhongli,70919
Zhongli,70919
Zhongli,71628
Zhongli,71801
Taoyuan,71925
Pingzhen,71994
Dayuan,72346
Dayuan,72477
Taoyuan,72600
Daxi,72708
Bade,73156
Dayuan,73383
Dayuan,73383
Dayuan,73383
Dayuan,73383
Taoyuan,73571
Yangmei,73648
Pingzhen,74162
Bade,74273
Taoyuan,74911
Luzhu,75465
Taoyuan,75848
Longtan,76232
Taoyuan,76535
Zhongli,76680
Luzhu,76700
Luzhu,77370
Pingzhen,77535
Taoyuan,78246
Luzhu,78401
Bade,78484
Taoyuan,79395
Taoyuan,79465
Taoyuan,80216
Taoyuan,80263
Yangmei,81606
Luzhu,82817
Taoyuan,83562
Zhongli,83787
Guishan,84434
Taoyuan,84452
Bade,84462
Zhongli,84752
Taoyuan,85127
Zhongli,85158
Taoyuan,85373
Taoyuan,85556
Luzhu,85873
Zhongli,85911
Pingzhen,86883
Zhongli,87238
Luzhu,89008
Yangmei,90163
Guishan,90683
Bade,91065
Dayuan,91669
Taoyuan,92433
Taoyuan,93322
Luzhu,93657
Bade,93852
Taoyuan,93879
Taoyuan,93889
Bade,94272
Taoyuan,94538
Zhongli,95568
Pingzhen,96937
Zhongli,102469
Pingzhen,102708
Zhongli,104167
Taoyuan,107611
Zhongli,108512
Taoyuan,110751
Zhongli,110823
Taoyuan,111081
Guishan,113236
Taoyuan,114286
Pingzhen,116078
Guishan,117057
Zhongli,117791
Pingzhen,118447
Guishan,119190
Pingzhen,126413
Taoyuan,127068
Guishan,130034
Zhongli,133526
Zhongli,134722
Bade,135186
Zhongli,137741
Taoyuan,140977
Zhongli,151511
Zhongli,151515
Zhongli,169558
Taoyuan,172871
Taoyuan,199362
Luzhu,347105
