date,A1 (%),A2 (%),A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22 (%),A23 (%)
2017/3/10 01:00,"55,2","16,98","3784,96",557983,394834,100804,"1,74",250049,246533,249829,295096,"306,4",250378,248643,451991,426335,443024,429998,452629,"440,77",463421,"66,91","1,31"
2017/3/10 01:00,"55,2","16,98","3798,05","563,11",396709,100812,"1,74",250203,248181,250291,295096,"306,4",250203,249807,447537,428318,445292,"425,78",433191,453034,451617,"66,91","1,31"
2017/3/10 01:00,"55,2","16,98","3866,6","564,27",398262,100821,"1,74",250269,247939,249719,295096,"306,4",250422,251543,452441,443155,444104,418668,409287,"453,65","437,82","66,91","1,31"
2017/3/10 01:00,"55,2","16,98","3907,42",568054,394951,100829,"1,74",250115,249258,249697,295096,"306,4",250642,248884,439679,451199,446372,420548,"403,83","438,25",413212,"66,91","1,31"
2017/3/10 01:00,"55,2","16,98","3705,66",560669,396123,100837,"1,74",250356,251433,249521,295096,"306,4","250,4",249324,441681,"446,1",444428,421288,397113,431586,405595,"66,91","1,31"
2017/3/10 01:00,"55,2","16,98","3554,3",572449,"395,01",100845,"1,74",250488,247104,249236,295096,"306,4",250115,"249,28",447186,468245,451657,449687,399592,"437,13",399916,"66,91","1,31"
2017/3/10 01:00,"55,2","16,98","3523,24",563416,394453,100854,"1,74",250181,247456,249324,295096,"306,4",249434,248181,453542,500023,454624,458008,414796,460818,403059,"66,91","1,31"
2017/3/10 01:00,"55,2","16,98","3514,65",565613,400986,100862,"1,74","249,28",252971,251697,295096,"306,4",249324,251543,"450,69",492148,458458,458714,419473,463618,415585,"66,91","1,31"
2017/3/10 01:00,"55,2","16,98","3492,58",569031,408018,100875,"1,74","248,95",252883,250686,295096,"306,4",250159,248972,"451,24",504664,456838,"456,76",428394,458186,434562,"66,91","1,31"
2017/3/10 01:00,"55,2","16,98","3508,98",568848,398994,10089,"1,74",249412,252949,249214,295096,"306,4",249873,251191,449989,484614,458782,485549,442769,"451,13","440,08","66,91","1,31"
2017/3/10 01:00,"55,2","16,98","3537,3",557312,400488,100906,"1,74",249609,253191,249258,295096,"306,4",249456,249983,438077,440264,464013,474647,461111,"456,45",455199,"66,91","1,31"
2017/3/10 01:00,"55,2","16,98","3555,86",562195,404766,100921,"1,74",249763,247896,249851,295096,"306,4",250005,249807,443933,433241,461479,"476,21",468607,466082,474567,"66,91","1,31"
2017/3/10 01:00,"55,2","16,98","3570,12",571533,401572,100936,"1,74",250291,251653,251279,295096,"306,4",252114,250115,448438,425826,"461,59",485898,482759,466418,479645,"66,91","1,31"
