"日期","測站","測項","X01","X02","X03","X04","X05","X06","X07","X08","X09","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24"
2008-01-01,"觀音","WIND_DIREC","77.22","72.12","74.07","66.82","72.12","65.24","77.05","85.55","83.09","72.49","74.21","62.94","61.08","56.95","61.73","68.65","77.66","83.1","87.68","84.22","83.91","84.88","88.72","85.53"
2008-01-01,"觀音","WIND_SPEED","6.75","6.25","5.8","6.09","6.06","6.07","5.95","7.02","5.51","7.31","7","7.74","7.9","8.05","7.24","7.15","5.81","7.23","6.03","6.4","6.59","6.3","6.84","6.64"
2008-01-01,"觀音","WS_HR","5.83","5.97","5.88","5.72","6.33","6.08","5.94","6.2","5.96","6.51","7.29","7.29","7.97","7.64","7.17","6.7","6.13","6.81","6.13","6.07","6.21","6.48","6.65","6.9"
2008-01-02,"觀音","AMB_TEMP","10.62","10.63","10.45","10.33","10.18","10.24","10.02","10.33","11.38","12.4","13.03","13.4","13.52","13.43","13.31","12.91","12.38","11.77","11.53","11.74","12.1","12.28","12.36","12.76"
2008-01-02,"觀音","CO","0.37","0.4","0.39","0.42","0.46","0.43","0.42","0.41","0.38","0.38","0.39","0.38","0.38","0.36","0.36","0.34","0.33","0.33","0.31","0.3","0.27","0.24","0.22","0.2"
2008-01-02,"觀音","NO","0.69","0.87","0.43","0.66","0.71","1.21","2.3","5.31","2.79","3.61","4.55","4.5","3.24","2.67","2.5","2.74","2.35","1.92","1.43","1.06","0.6","0.62","0.59","0.26"
2008-01-02,"觀音","NO2","19.43","15.53","11.46","16.51","15.07","17.59","22.03","23.04","11.48","11.42","12.4","11.45","9.98","10.29","11.97","14.26","14.03","16.73","14.59","10.97","7.94","7.03","8.01","8.77"
2008-01-02,"觀音","NOx","20.12","16.39","11.89","17.17","15.78","18.8","24.33","28.35","14.27","15.02","16.95","15.95","13.22","12.97","14.46","17","16.37","18.66","16.01","12.03","8.53","7.65","8.61","9.04"
2008-01-02,"觀音","O3","21.8","22.4","24.1","20.2","22.3","20.8","14.9","13.8","23.4","24.6","24.3","25.3","28.9","32.6","32.8","28.8","24.6","22.6","24.6","28.6","30.2","31.1","30","30.5"
2008-01-02,"觀音","PH_RAIN","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
2008-01-02,"觀音","PM10","60","76","87","81","78","83","80","75","84","97","96","92","81","90","96","92","92","76","65","65","61","51","53","52"
2008-01-02,"觀音","PM2.5","27","35","32","41","46","44","39","37","42","38","33","37","43","34","36","42","41","35","29","29","30","26","20","14"
2008-01-02,"觀音","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
2008-01-02,"觀音","RAIN_COND","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
2008-01-02,"觀音","RAIN_INT","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
2008-01-02,"觀音","RAIN_TEMP","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
2008-01-02,"觀音","RH","48.28","48.61","50.14","52.01","50.94","50.49","54.44","52.23","47.81","48.85","50.36","51.9","51.52","50.39","50.62","53.94","57.3","57.4","57.1","58.32","58.91","56.92","59.21","56.03"
2008-01-02,"觀音","SHELT_TEMP","27.16","27.15","27.17","27.16","27.16","27.16","27.16","27.14","27.16","27.17","27.19","27.2","27.2","27.21","27.23","27.23","27.21","27.2","27.18","27.17","27.17","27.16","27.16","27.17"
2008-01-02,"觀音","SO2","17","17.7","16.5","18.5","18.5","21.8","20.5","19.3","11.5","13.3","13.9","12.7","11.1","12.4","11.9","11.5","9.1","8.8","6.7","5.1","4.3","4.2","4","3.5"
2008-01-02,"觀音","WD_HR","84.81","84.88","84.91","84.94","83.45","86.47","84.74","84.83","81.9","77.03","72.76","61.99","58.7","59.61","66.13","70.57","78.11","84.51","83.66","81.16","82.74","78.96","79.99","80.5"
2008-01-02,"觀音","WIND_DIREC","82.59","87.79","86.02","85.13","84","87.27","83.41","82.89","80.1","70.75","55.71","61.31","63.68","68.31","80.95","69.83","82.72","84.44","82.33","83.85","75.07","79.98","82.37","81.79"
2008-01-02,"觀音","WIND_SPEED","8.15","7.4","7.32","7.14","6.6","6.26","6.99","7.55","7.24","8.18","8.74","8.9","8.91","7.8","6.89","7.53","6.85","6.56","6.05","6.49","6.4","6.77","5.99","5.91"
2008-01-02,"觀音","WS_HR","7.43","7.36","7.28","7.29","7.35","6.35","6.8","6.59","6.97","7.3","7.69","8.2","8.56","8.27","7.08","7.29","7.15","6.79","5.87","5.97","6.55","6.49","5.74","5.56"
